Expression	Value	Location	Type	
[249]	'2' (0x32)	0x1fff'8a29	char	
[250]	'3' (0x33)	0x1fff'8a2a	char	
[251]	',' (0x2C)	0x1fff'8a2b	char	
[252]	',' (0x2C)	0x1fff'8a2c	char	
[253]	',' (0x2C)	0x1fff'8a2d	char	
[254]	',' (0x2C)	0x1fff'8a2e	char	
[255]	',' (0x2C)	0x1fff'8a2f	char	
[256]	',' (0x2C)	0x1fff'8a30	char	
[257]	',' (0x2C)	0x1fff'8a31	char	
[258]	',' (0x2C)	0x1fff'8a32	char	
[259]	',' (0x2C)	0x1fff'8a33	char	
[260]	',' (0x2C)	0x1fff'8a34	char	
[261]	'2' (0x32)	0x1fff'8a35	char	
[262]	'.' (0x2E)	0x1fff'8a36	char	
[263]	'7' (0x37)	0x1fff'8a37	char	
[264]	'3' (0x33)	0x1fff'8a38	char	
[265]	',' (0x2C)	0x1fff'8a39	char	
[266]	'2' (0x32)	0x1fff'8a3a	char	
[267]	'.' (0x2E)	0x1fff'8a3b	char	
[268]	'5' (0x35)	0x1fff'8a3c	char	
[269]	'5' (0x35)	0x1fff'8a3d	char	
[270]	',' (0x2C)	0x1fff'8a3e	char	
[271]	'0' (0x30)	0x1fff'8a3f	char	
[272]	'.' (0x2E)	0x1fff'8a40	char	
[273]	'9' (0x39)	0x1fff'8a41	char	
[274]	'9' (0x39)	0x1fff'8a42	char	
[275]	',' (0x2C)	0x1fff'8a43	char	
[276]	'1' (0x31)	0x1fff'8a44	char	
[277]	'*' (0x2A)	0x1fff'8a45	char	
[278]	'0' (0x30)	0x1fff'8a46	char	
[279]	'9' (0x39)	0x1fff'8a47	char	
[280]	'\r' (0x0D)	0x1fff'8a48	char	
[281]	'\n' (0x0A)	0x1fff'8a49	char	
[282]	'$' (0x24)	0x1fff'8a4a	char	
[283]	'G' (0x47)	0x1fff'8a4b	char	
[284]	'N' (0x4E)	0x1fff'8a4c	char	
[285]	'G' (0x47)	0x1fff'8a4d	char	
[286]	'S' (0x53)	0x1fff'8a4e	char	
[287]	'A' (0x41)	0x1fff'8a4f	char	
[288]	',' (0x2C)	0x1fff'8a50	char	
[289]	'A' (0x41)	0x1fff'8a51	char	
[290]	',' (0x2C)	0x1fff'8a52	char	
[291]	'3' (0x33)	0x1fff'8a53	char	
[292]	',' (0x2C)	0x1fff'8a54	char	
[293]	'8' (0x38)	0x1fff'8a55	char	
[294]	'1' (0x31)	0x1fff'8a56	char	
[295]	',' (0x2C)	0x1fff'8a57	char	
[296]	'8' (0x38)	0x1fff'8a58	char	
[297]	'2' (0x32)	0x1fff'8a59	char	
[298]	',' (0x2C)	0x1fff'8a5a	char	
[299]	'6' (0x36)	0x1fff'8a5b	char	
[300]	'6' (0x36)	0x1fff'8a5c	char	
[301]	',' (0x2C)	0x1fff'8a5d	char	
[302]	',' (0x2C)	0x1fff'8a5e	char	
